x,y,PM25
2.51563,51.086025,9.88067722320557
2.54688,51.086025,9.77561664581299
2.35938,51.0704,10.2173271179199
2.45313,51.0704,10.149866104126
2.48438,51.0704,9.9711799621582
2.51563,51.0704,9.8661994934082
2.54688,51.0704,9.78560733795166
2.57813,51.0704,9.71617126464844
2.17188,51.054775,9.70058536529541
2.26563,51.054775,10.0211334228516
2.29688,51.054775,10.195704460144
2.32813,51.054775,10.213231086731
2.35938,51.054775,10.2952280044556
2.39063,51.054775,10.3919897079468
2.42188,51.054775,10.4665861129761
2.45313,51.054775,10.2523040771484
2.48438,51.054775,10.041109085083
2.51563,51.054775,9.91606998443604
2.54688,51.054775,9.82231998443604
2.57813,51.054775,9.74239826202393
2.14063,51.03915,9.70022201538086
2.17188,51.03915,9.66673755645752
2.20313,51.03915,9.76811122894287
2.23438,51.03915,9.87449932098389
2.26563,51.03915,10.1011056900024
2.29688,51.03915,10.3367576599121
2.32813,51.03915,10.2821750640869
2.35938,51.03915,10.3316612243652
2.39063,51.03915,10.4079294204712
2.42188,51.03915,10.4324970245361
2.45313,51.03915,10.2635908126831
2.48438,51.03915,10.0717315673828
2.51563,51.03915,9.94552040100098
2.54688,51.03915,9.84350776672363
2.57813,51.03915,9.7515115737915
2.10938,51.023525,9.57326316833496
2.14063,51.023525,9.56663036346436
2.17188,51.023525,9.56448554992676
2.20313,51.023525,9.71627807617188
2.23438,51.023525,9.87256526947021
2.26563,51.023525,9.96374034881592
2.29688,51.023525,10.0627136230469
2.32813,51.023525,10.0475673675537
2.35938,51.023525,10.1141347885132
2.39063,51.023525,10.1765089035034
2.42188,51.023525,10.165867805481
2.45313,51.023525,10.1015605926514
2.48438,51.023525,9.97769737243652
2.51563,51.023525,9.88160228729248
2.54688,51.023525,9.79154396057129
2.57813,51.023525,9.68226718902588
2.01563,51.0079,9.44984722137451
2.04688,51.0079,9.37453079223633
2.07813,51.0079,9.38707542419434
2.10938,51.0079,9.40429401397705
2.14063,51.0079,9.43006324768066
2.17188,51.0079,9.45953845977783
2.20313,51.0079,9.66234970092773
2.23438,51.0079,9.86956787109375
2.26563,51.0079,9.82692050933838
2.29688,51.0079,9.79488754272461
2.32813,51.0079,9.82936096191406
2.35938,51.0079,9.9009428024292
2.39063,51.0079,9.9489107131958
2.42188,51.0079,9.94596385955811
2.45313,51.0079,9.93419933319092
2.48438,51.0079,9.87262535095215
2.51563,51.0079,9.81704616546631
2.54688,51.0079,9.75765705108643
2.57813,51.0079,9.66789054870605
1.92188,50.992275,9.55692958831787
1.95313,50.992275,9.50160121917725
1.98438,50.992275,9.44028377532959
2.01563,50.992275,9.40446281433105
2.04688,50.992275,9.37639331817627
2.07813,50.992275,9.39207553863525
2.10938,50.992275,9.41356086730957
2.14063,50.992275,9.44097137451172
2.17188,50.992275,9.47237873077393
2.20313,50.992275,9.58853054046631
2.23438,50.992275,9.70980739593506
2.26563,50.992275,9.68870544433594
2.29688,50.992275,9.67818450927734
2.32813,50.992275,9.71686172485352
2.35938,50.992275,9.77504253387451
2.39063,50.992275,9.80928707122803
2.42188,50.992275,9.81128597259521
2.45313,50.992275,9.82173252105713
